fuente,nombre,voltaje_kv,subestacion_origen,subestacion_destino,propietario,longitud_km,estado,geometry_wkt,attrs_json
Lineas_de_Transmision_69_kV__,Mazatenango - La Maquina,69,,,,,,"LINESTRING (-91.6283652659999 14.279085016, -91.6284021469999 14.2791132000001, -91.628713015 14.279194348, -91.629607768 14.2793438980001, -91.6298879089999 14.278795925)","{""FID"": 11, ""FID_Polyli"": 12, ""Name"": ""Mazatenango - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 212.3878613116222}"
Lineas_de_Transmision_69_kV__,Champerico - La Maquina,69,,,,,,"LINESTRING (-91.6298879089999 14.278795925, -91.6297268109999 14.2793707030001, -91.6286114569999 14.279200532)","{""FID"": 12, ""FID_Polyli"": 13, ""Name"": ""Champerico - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 194.10586558478053}"
Lineas_de_Transmision_69_kV__,LOS ESCLAVOS-EL PROGRESO,69,,,,,,"LINESTRING (-90.0001346939999 14.274762165, -89.9984505839999 14.2764447080001, -89.997110479 14.2779048560001, -89.996562018 14.2784445830001, -89.995516158 14.278484842, -89.9947846109999 14.2784850180001, -89.9934425919999 14.278538025, -89.992527065 14.278630817, -89.991591229 14.2785883980001, -89.990776828 14.2786257260001, -89.989611552 14.2787397080001, -89.988852105 14.278731185, -89.9877597029999 14.2787539330001, -89.986250779 14.278790934, -89.98503825 14.2788332380001, -89.984085319 14.2788993750001, -89.9830208069999 14.278930783, -89.982419229 14.2789563840001, -89.9807717719999 14.27902218, -89.979994038 14.27903192, -89.978965605 14.2789906100001, -89.978270843 14.278972212, -89.976361877 14.2788696610001, -89.9748979239999 14.278806686, -89.973081781 14.27872101, -89.972368262 14.2786847670001, -89.970950363 14.2786031300001, -89.969646176 14.278718749, -89.968952238 14.278763532, -89.9680826199999 14.2788285650001, -89.967656832 14.278842906, -89.9666763419999 14.2789273790001, -89.965455239 14.2790238780001, -89.9631793309999 14.279187693, -89.962106009 14.279255242, -89.961208723 14.279329627, -89.959515523 14.2794410010001, -89.959156314 14.2795899650001, -89.957801976 14.280121577, -89.9566599979999 14.280605388, -89.955794251 14.2809683580001, -89.9547900869999 14.28136917, -89.953279027 14.281956892, -89.9521644499999 14.282413251, -89.951262003 14.282803756, -89.950469721 14.2831206430001, -89.949741662 14.283391575, -89.948793145 14.2838007060001, -89.948544676 14.2839211910001, -89.948286478 14.284005672, -89.947963347 14.2840819250001, -89.947761526 14.284228925, -89.9475312219999 14.284322091, -89.9472732579999 14.2844246300001, -89.9463985689999 14.2848147760001, -89.9452933359999 14.2852800230001, -89.9446575009999 14.2855227060001, -89.944031159 14.285783333, -89.9432481109999 14.2861000850001, -89.9427138879999 14.2863234440001, -89.9422626469999 14.286518682, -89.941599143 14.286770732, -89.9409726749999 14.2870223220001, -89.940171333 14.2873573540001, -89.9392593439999 14.2877298760001, -89.938307734 14.287904196, -89.93742082 14.288068683, -89.936478699 14.2882609420001, -89.9355086799999 14.28844451, -89.9349824119999 14.2885684120001, -89.934141671 14.288723286, -89.933273618 14.2889146190001, -89.9326636599999 14.2890124540001, -89.932081596 14.2891189750001, -89.931518051 14.2892252670001, -89.931028816 14.2893487040001, -89.9301328599999 14.2895313390001, -89.9292181489999 14.28969614, -89.92841385 14.28980539, -89.9280353749999 14.2899003630001, -89.927453655 14.290033963, -89.9264649779999 14.290208696, -89.925964841 14.290205818, -89.9252151599999 14.290242135, -89.924186287 14.290173506, -89.923085204 14.2902502610001, -89.922001706 14.2902545450001, -89.92108488 14.290256777, -89.9195291349999 14.290266849, -89.918741944 14.2902674800001, -89.917945609 14.2902772530001, -89.917015269 14.290667985, -89.91598365 14.291105114, -89.914970663 14.2915510420001, -89.913994128 14.291951363, -89.913330678 14.2922123730001, -89.912446619 14.292602523, -89.9116362859999 14.292964674, -89.9103201429999 14.2936039580001, -89.910126342 14.295096523, -89.9095612879999 14.2958078930001, -89.9089793369999 14.2966459110001, -89.9060443 14.2981539420001, -89.904258971 14.2990427870001, -89.9010934 14.3006348690001, -89.900195627 14.301404475, -89.8993525979999 14.30211019, -89.898133937 14.302414065, -89.8977984789999 14.3022555880001, -89.896469732 14.301919556, -89.895508273 14.302057715, -89.8945287539999 14.3022322160001, -89.893558725 14.302424661, -89.892649354 14.302291226, -89.89182379 14.3021928950001, -89.890960954 14.302076951, -89.890682795 14.3020532400001, -89.8883841299999 14.3019186200001, -89.8884299709999 14.301881937, -89.8858143739999 14.301588574, -89.8847665609999 14.301492916, -89.8835791489999 14.301344757, -89.8826239399999 14.3012479650001, -89.8809313479999 14.301431059, -89.879733815 14.3019423160001, -89.8786004079999 14.3023986000001, -89.877161858 14.3028947010001, -89.8766499339999 14.3034247370001, -89.875174593 14.3037864370001)","{""FID"": 13, ""FID_Polyli"": 14, ""Name"": ""LOS ESCLAVOS-EL PROGRESO"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 14929.368515809396}"
Lineas_de_Transmision_69_kV__,Progreso - Jicaro,69,,,,,,"LINESTRING (-89.875174593 14.3037864370001, -89.8750166169999 14.3031756680001, -89.874837709 14.302579548, -89.874843528 14.3008871540001, -89.874846087 14.299901774, -89.8746532439999 14.298634997, -89.87474661 14.29796552, -89.874883636 14.297087787, -89.875024065 14.2957493950001, -89.875218563 14.294292937, -89.8754200229999 14.2926557600001, -89.875538642 14.2917872810001, -89.875575334 14.2852027170001, -89.875683776 14.284262108, -89.8757353609999 14.2824912670001, -89.8758935089999 14.2810894400001, -89.875956111 14.2801855120001, -89.876019747 14.279362856, -89.876196448 14.2786923740001, -89.8762552639999 14.2774904450001, -89.8757129859999 14.2756274310001, -89.875123677 14.2751648990001, -89.874195643 14.2742819640001, -89.8734845929999 14.2737125170001, -89.87279468 14.2726189700001, -89.872295688 14.2719747040001, -89.871216896 14.270885841, -89.8697984889999 14.269304317, -89.86898527 14.268708987, -89.868227726 14.2681220140001, -89.866550553 14.267311282, -89.8655812 14.2668171660001, -89.8640718499999 14.266094712, -89.863252706 14.2657613510001, -89.8620222839999 14.2651258470001, -89.8607740329999 14.2645447400001, -89.8581504259999 14.2635827290001, -89.8566482849999 14.2634291410001, -89.8550705929999 14.263159033, -89.853548913 14.2629243710001, -89.853157073 14.262694235, -89.85132672 14.261478777, -89.8504023479999 14.260875668, -89.8488893259999 14.259855092, -89.847889759 14.25916255, -89.84674092 14.2583814670001, -89.844817248 14.257103838, -89.843836449 14.2564291140001, -89.842781357 14.255737208, -89.841800682 14.255071504, -89.8409409429999 14.2544495140001, -89.840072968 14.253908906, -89.839017672 14.253198917, -89.83818561 14.2525675530001, -89.8368885799999 14.251779142, -89.836440543 14.2514954480001, -89.835114732 14.2506260800001, -89.8336572759999 14.24959569, -89.833237249 14.24932972, -89.832713686 14.248929499, -89.8312667499999 14.247998318, -89.8297442909999 14.2469506050001, -89.8267655719999 14.2449627440001, -89.8249720679999 14.243710467, -89.8246456569999 14.243524659, -89.819547167 14.2400985740001, -89.8172215219999 14.238491226, -89.8158684099999 14.2376491420001, -89.811077925 14.234399839, -89.8103690409999 14.233983673, -89.806254782 14.2337430470001, -89.80552382 14.232288418, -89.8045198099999 14.230466671, -89.8041224939999 14.2297848870001, -89.803278793 14.2281960870001, -89.8027094929999 14.22708277, -89.802169087 14.226059435, -89.8014872569999 14.2248300140001, -89.8002913749999 14.2224595180001, -89.800026369 14.2219929460001, -89.797997609 14.218150898, -89.7961651809999 14.215209752, -89.795957516 14.214887019, -89.795683272 14.214420547, -89.795483646 14.213998364, -89.795089768 14.212837802, -89.794209564 14.2105267870001, -89.792652048 14.206588825, -89.7899990809999 14.203160402, -89.7897239809999 14.20262167, -89.786110574 14.195600465, -89.786004749 14.19451781, -89.785975189 14.1936149160001, -89.785846215 14.19215317, -89.78579693 14.1911511490001, -89.7857394929999 14.190239546, -89.7856709249999 14.189174521, -89.7855472589999 14.188146268, -89.7855227689999 14.186900082, -89.785489907 14.185726253, -89.785292195 14.18469886, -89.7853543289999 14.1837226380001, -89.7852986549999 14.182196811, -89.7851338939999 14.180834834, -89.7850544289999 14.179634449, -89.7850042779999 14.1785601760001, -89.784896496 14.177314957, -89.7848073389999 14.1760785540001, -89.7847456219999 14.174814735, -89.78467884 14.173894205, -89.7846123909999 14.173000769, -89.784530734 14.1716197590001, -89.784467704 14.171006288, -89.7844188879999 14.170040387, -89.78430396 14.168208142, -89.7842594439999 14.167594455, -89.78416182 14.166421375, -89.7840817219999 14.1644080760001, -89.783914468 14.1628383770001, -89.784036448 14.162213724)","{""FID"": 14, ""FID_Polyli"": 15, ""Name"": ""Progreso - Jicaro"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 21310.26436400337}"
Lineas_de_Transmision_69_kV__,Progreso - Jicaro,69,,,,,,"LINESTRING (-89.875174726 14.3037869500001, -89.875174593 14.3037864370001)","{""FID"": 15, ""FID_Polyli"": 16, ""Name"": ""Progreso - Jicaro"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 0.06076516964498234}"
Lineas_de_Transmision_69_kV__,Pastoria-Esclavos-Barberena,69,,,,,,"LINESTRING (-90.3922141529999 14.3203746140001, -90.392204032 14.3205740470001, -90.3923903449999 14.3206139770001, -90.3924634589999 14.3212192940001, -90.3918577259999 14.3216057290001, -90.3907413259999 14.321604167, -90.390414881 14.321968774, -90.390697212 14.323088723, -90.3905888689999 14.3237750870001, -90.390652814 14.323834526, -90.390703419 14.3238028500001)","{""FID"": 16, ""FID_Polyli"": 17, ""Name"": ""Pastoria-Esclavos-Barberena"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 603.4669294825295}"
Lineas_de_Transmision_69_kV__,Champerico - La Maquina,69,,,,,,"LINESTRING (-91.899241025 14.3104861460001, -91.886155731 14.327241031, -91.885982298 14.3274501380001)","{""FID"": 17, ""FID_Polyli"": 18, ""Name"": ""Champerico - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 2444.788130092935}"
Lineas_de_Transmision_69_kV__,Los Brillantes-Champerico,69,,,,,,"LINESTRING (-91.899431077 14.3099178730001, -91.899616086 14.310007147, -91.89863969 14.3112373380001, -91.8968110549999 14.313368861, -91.894542809 14.316123397, -91.89200866 14.319441265, -91.8897423619999 14.3221407390001, -91.887452035 14.3251406700001, -91.887120587 14.325605159, -91.885982298 14.3274501380001)","{""FID"": 18, ""FID_Polyli"": 19, ""Name"": ""Los Brillantes-Champerico"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 2539.153792171848}"
Lineas_de_Transmision_69_kV__,Los Brillantes-Champerico,69,,,,,,"LINESTRING (-91.885982298 14.3274501380001, -91.8845899569999 14.329706893)","{""FID"": 19, ""FID_Polyli"": 20, ""Name"": ""Los Brillantes-Champerico"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 302.08094025802626}"
Lineas_de_Transmision_69_kV__,Champerico - La Maquina,69,,,,,,"LINESTRING (-91.885982298 14.3274501380001, -91.885065956 14.328554967, -91.8845899569999 14.329706893)","{""FID"": 20, ""FID_Polyli"": 21, ""Name"": ""Champerico - La Maquina"", ""FolderPath"": ""Lineas de Transmision 69 kV/Lineas de Transmision 69 kV"", ""Shape__Length"": 305.407332134715}"
