fuente,nombre,voltaje_kv,latitud,longitud,propietario,departamento,municipio,estado,attrs_json
Subestaciones_69_kV_,San Rafael Pie de la Cuesta,69,14.930363889000017,-91.92726666699997,,,,,"{""FID"": 38, ""Name"": ""San Rafael Pie de la Cuesta"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Zacualpa,69,15.02205367100004,-90.88957376399999,,,,,"{""FID"": 39, ""Name"": ""Zacualpa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Quiche,69,15.02602003600003,-91.15876757099994,,,,,"{""FID"": 40, ""Name"": ""Quiche"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Solola,69,14.768756563000075,-91.18675148199998,,,,,"{""FID"": 41, ""Name"": ""Solola"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Totonicapan,69,14.911722239000024,-91.36649380699997,,,,,"{""FID"": 42, ""Name"": ""Totonicapan"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Alaska,69,14.846172944000049,-91.36298947199998,,,,,"{""FID"": 43, ""Name"": ""Alaska"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Xela,69,14.847170049000056,-91.52451947899999,,,,,"{""FID"": 44, ""Name"": ""Xela"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Esperanza,69,14.871964451000055,-91.54483929599996,,,,,"{""FID"": 45, ""Name"": ""Esperanza"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Isabel,69,13.967189663000058,-90.82422015199995,,,,,"{""FID"": 46, ""Name"": ""Santa Isabel"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Genosa,69,13.959560615000042,-90.809986252,,,,,"{""FID"": 47, ""Name"": ""Genosa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Magdalena,69,14.119722592000059,-90.93078743099994,,,,,"{""FID"": 48, ""Name"": ""Magdalena"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Ciasa,69,14.098339936000054,-91.01149329399998,,,,,"{""FID"": 49, ""Name"": ""Ciasa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Acacias,69,14.043181323000047,-91.11544491999996,,,,,"{""FID"": 50, ""Name"": ""Acacias"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Milagro,69,14.149814108000047,-90.97033486099997,,,,,"{""FID"": 51, ""Name"": ""Milagro"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Obispo,69,14.250628249000048,-90.96080416199997,,,,,"{""FID"": 52, ""Name"": ""Obispo"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Jocote,69,14.275434112000028,-90.91377617299997,,,,,"{""FID"": 53, ""Name"": ""El Jocote"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Lucia Cotz.,69,14.32829635500007,-90.99105067999994,,,,,"{""FID"": 54, ""Name"": ""Santa Lucia Cotz."", ""V__kV_"": 69}"
Subestaciones_69_kV_,Pantaleon,69,14.334121953000015,-90.99613084699996,,,,,"{""FID"": 55, ""Name"": ""Pantaleon"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Union,69,14.267042939000081,-91.09756591099995,,,,,"{""FID"": 56, ""Name"": ""La Union"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Miriam,69,14.309837063000025,-91.04719264399994,,,,,"{""FID"": 57, ""Name"": ""Miriam"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Cocales,69,14.393094347000059,-91.19410969999994,,,,,"{""FID"": 58, ""Name"": ""Cocales"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Noria,69,14.262709090000044,-91.36081264899997,,,,,"{""FID"": 59, ""Name"": ""La Noria"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Chicacao,69,14.53641210700004,-91.32565722999999,,,,,"{""FID"": 60, ""Name"": ""Chicacao"", ""V__kV_"": 69}"
Subestaciones_69_kV_,San Antonio Suchitepequez,69,14.541921940000073,-91.42672727399999,,,,,"{""FID"": 61, ""Name"": ""San Antonio Suchitepequez"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Tulula,69,14.50366852100006,-91.58446483699998,,,,,"{""FID"": 62, ""Name"": ""Tulula"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Cuyotenango,69,14.541403557000018,-91.57745622999992,,,,,"{""FID"": 63, ""Name"": ""Cuyotenango"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Cruz,69,14.542952881000064,-91.57629005099996,,,,,"{""FID"": 64, ""Name"": ""La Cruz"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Mazatenango,69,14.546380905000039,-91.50727062899995,,,,,"{""FID"": 65, ""Name"": ""Mazatenango"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Maquina,69,14.278949446000068,-91.62829096299998,,,,,"{""FID"": 66, ""Name"": ""La Maquina"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Champerico,69,14.309854878000067,-91.89933626099997,,,,,"{""FID"": 67, ""Name"": ""Champerico"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa María,69,14.719218776000039,-91.52520358199996,,,,,"{""FID"": 68, ""Name"": ""Santa María"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Recreo,69,14.650622846000035,-91.57140936999997,,,,,"{""FID"": 69, ""Name"": ""El Recreo"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Recreo II,69,14.633375849000059,-91.58475536299994,,,,,"{""FID"": 70, ""Name"": ""El Recreo II"", ""V__kV_"": 69}"
Subestaciones_69_kV_,San Felipe,69,14.621323138000028,-91.59015287599999,,,,,"{""FID"": 71, ""Name"": ""San Felipe"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Irtra,69,14.597860885000046,-91.61334067599995,,,,,"{""FID"": 72, ""Name"": ""Irtra"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Retalhuleu,69,14.539119203000023,-91.67303194299996,,,,,"{""FID"": 73, ""Name"": ""Retalhuleu"", ""V__kV_"": 69}"
Subestaciones_69_kV_,San Sebastian,69,14.558480480000068,-91.65103042099997,,,,,"{""FID"": 74, ""Name"": ""San Sebastian"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Escuintla,69,14.263458624000059,-90.79805021699997,,,,,"{""FID"": 75, ""Name"": ""Escuintla"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Escuintla 2,69,14.261975116000022,-90.79785712599994,,,,,"{""FID"": 76, ""Name"": ""Escuintla 2"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Ana,69,14.241969027000039,-90.84430595399992,,,,,"{""FID"": 77, ""Name"": ""Santa Ana"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Ana,69,14.235560239000051,-90.84388280699993,,,,,"{""FID"": 78, ""Name"": ""Santa Ana"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Los Lirios,69,14.205893351000036,-90.84117300299992,,,,,"{""FID"": 79, ""Name"": ""Los Lirios"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Trinidad,69,14.150199659000073,-90.84089175999998,,,,,"{""FID"": 80, ""Name"": ""Trinidad"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Belem (Maniobras),69,14.134075944000072,-90.84319523899995,,,,,"{""FID"": 81, ""Name"": ""Belem (Maniobras)"", ""V__kV_"": 69}"
